date,日期,客流
841,2024-04-20,38.33
842,2024-04-21,46.41
843,2024-04-22,31.79
844,2024-04-23,34.17
845,2024-04-24,36.339999999999996
846,2024-04-25,36.18
847,2024-04-26,37.1
848,2024-04-27,41.95
849,2024-04-28,34.9
850,2024-04-29,34.37
851,2024-04-30,40.589999999999996
