日期,景点,省份,市,客流指数
2022-1-10,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.34
2022-1-10,哈尔滨极地馆,黑龙江省,哈尔滨市,0.26
2022-1-10,东北虎林园,黑龙江省,哈尔滨市,0.22
2022-1-10,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-10,萧红故居,黑龙江省,哈尔滨市,0.15
2022-1-10,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.14
2022-1-10,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-11,中华巴洛克,黑龙江省,哈尔滨市,1.9
2022-1-11,斯大林公园,黑龙江省,哈尔滨市,1.7
2022-1-11,儿童公园,黑龙江省,哈尔滨市,1.36
2022-1-11,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.31
2022-1-11,圣索菲亚教堂,黑龙江省,哈尔滨市,0.84
2022-1-11,龙塔,黑龙江省,哈尔滨市,0.81
2022-1-11,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.72
2022-1-11,二龙山风景区,黑龙江省,哈尔滨市,0.6
2022-1-11,群力丁香公园,黑龙江省,哈尔滨市,0.55
2022-1-11,哈尔滨文化公园,黑龙江省,哈尔滨市,0.52
2022-1-11,黑龙江省博物馆,黑龙江省,哈尔滨市,0.5
2022-1-11,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.35
2022-1-11,古梨园,黑龙江省,哈尔滨市,0.34
2022-1-11,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.33
2022-1-11,哈尔滨极地馆,黑龙江省,哈尔滨市,0.28
2022-1-11,东北虎林园,黑龙江省,哈尔滨市,0.24
2022-1-11,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.17
2022-1-11,萧红故居,黑龙江省,哈尔滨市,0.15
2022-1-11,北方森林动物园,黑龙江省,哈尔滨市,0.14
2022-1-11,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-12,中华巴洛克,黑龙江省,哈尔滨市,1.89
2022-1-12,斯大林公园,黑龙江省,哈尔滨市,1.75
2022-1-12,儿童公园,黑龙江省,哈尔滨市,1.36
2022-1-12,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.34
2022-1-12,圣索菲亚教堂,黑龙江省,哈尔滨市,0.87
2022-1-12,龙塔,黑龙江省,哈尔滨市,0.79
2022-1-12,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,0.73
2022-1-12,二龙山风景区,黑龙江省,哈尔滨市,0.59
2022-1-12,哈尔滨文化公园,黑龙江省,哈尔滨市,0.58
2022-1-12,群力丁香公园,黑龙江省,哈尔滨市,0.58
2022-1-12,黑龙江省博物馆,黑龙江省,哈尔滨市,0.52
2022-1-12,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.35
2022-1-12,古梨园,黑龙江省,哈尔滨市,0.35
2022-1-12,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.33
2022-1-12,哈尔滨极地馆,黑龙江省,哈尔滨市,0.29
